"Revision","Author","Date","Message"
"441","yancyn","2011-08-13 12:12:24","adding hamid new order."
"440","yancyn","2011-08-12 20:01:59","updating sales report formating.replace latest JawiWPF."
"439","yancyn","2011-08-12 18:09:39","updating hamid delivery date."
"438","yancyn","2011-08-12 18:00:30","put alfatihah as the icon for jawiwpf app."
"437","yancyn","2011-08-12 10:51:11","corrected jusoh template."
"436","yancyn","2011-08-11 15:57:48","handled align bottom scenario when the mouse pointer is click below half screen."
"435","yancyn","2011-08-11 15:46:03","replaced togglebutton to radiobutton direct implemented IsChecked property.sort object in alphabetically instead using IO original file reading behavior which has no sorting correctly."
"434","yancyn","2011-08-11 14:28:57","count the filename instead of root word only."
"433","yancyn","2011-08-10 22:23:29","adding new order and update exe version."
"432","yancyn","2011-08-10 13:23:18","added counter during generate svg file."
"431","yancyn","2011-08-09 19:02:26","adding hamid's order."
"430","yancyn","2011-08-04 13:15:59","amend all template with born date.added arabic egg with born date."
"429","yancyn","2011-08-04 11:45:04","cloned to baby tile."
"428","yancyn","2011-08-04 11:26:31","adjust text alignment for PV tile template especially for ADDIN MARBLE."
"427","yancyn","2011-08-04 11:12:06","removed merge button. Assume the input source will be the file name to generate otherwise will prompt to keyin again."
"426","yancyn","2011-08-04 09:56:01","added invalid death value later than today. That's is impossible a death people die after today to create a memorial tomb."
"425","yancyn","2011-08-03 22:34:47","update order."
"424","yancyn","2011-08-03 22:31:54","added character d and n."
